User_id,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Attentive
1,32.94374694,3.302075538,26.66930241,23.40030652,29.58801532,39.10588705,0.475429343,34.92961986,71.24032183,55.62790698,yes
2,6.002348224,2.725773203,2.48011164,23.29389664,2.30639536,9.512436826,0.552718266,11.76974311,30.29080395,59.94444444,yes
3,11.66142018,3.305054074,2.751611579,8.892789381,1.884462367,1.018902751,8.50543546,12.35171871,71.24013554,58.77674419,yes
4,1.094393743,2.996050995,19.25563071,2.275880968,29.53700907,25.45825402,0.506994536,0.65098459,57.72381894,37.59345794,yes
5,29.99717861,2.723361454,9.7802164,9.940068209,2.306516883,24.97559505,35.86369702,38.46925035,27.52583682,61.99534884,yes
6,32.98715906,21.10582389,6.850748496,2.587864937,23.55398822,35.21238235,0.608390291,22.5607958,27.55290219,47.70697674,yes
7,17.58331644,3.294689576,26.67474908,2.784816889,2.138873637,1.01016146,32.26161978,0.627457549,39.84643064,52.95813953,no
8,33.00909281,12.48469359,2.783951319,2.532960242,2.101950385,9.833850375,29.01463405,27.43734558,71.22742038,70.42325581,no
9,27.05491752,3.307553335,23.99900383,21.0562596,20.07479021,39.15248385,0.497357799,31.43880316,58.84684929,57.33488372,yes
10,1.067799885,13.73722701,23.30981769,21.04888402,2.300439685,36.77996909,23.28753827,31.46156203,65.5326927,69.78037383,yes
11,1.191371842,21.1105532,24.05580258,2.652007988,24.17494989,35.23375469,0.488956723,0.742185136,87.05355296,63.93303571,yes
12,1.805790841,3.315847917,2.755433361,23.36945442,12.07060366,19.07219739,0.515079755,8.544703279,79.1395282,67.10648148,no
13,1.108799442,23.48721639,2.529662232,6.669156258,6.215684177,0.876547095,32.22129505,21.95073314,79.15553513,50.29302326,no
14,1.170632827,23.48264278,24.01195785,2.278722385,17.21950141,1.00160572,9.617716923,38.439519,30.28891754,50.7627907,no
15,6.173394181,6.270484427,2.455744473,2.260328614,5.43576909,0.948517444,21.36221212,17.20589303,71.26833343,58.74418605,yes
16,11.07435232,2.630781448,26.67894153,2.795234243,26.8884106,20.32143732,19.94981053,0.81441093,79.13240019,55.77570093,no
17,1.308707184,23.4798372,29.32642273,2.532372691,18.1640569,23.60187545,35.86507269,25.74373305,79.14018511,36.02325581,yes
