User_id,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Attentive
1,15.91099476,15.45549738,5.277486911,4.502617801,6.151832461,7.753926702,5.717277487,12.55497382,55.1989529,53.10471204,yes
2,1.821989529,5.382198953,5.539267016,13.28272251,6.45026178,14.04188482,7.356020942,6.643977906,55.4188482,65.2565445,no
3,5.256544503,2.439790576,7.879581152,10.10471204,17.41361257,11.7486911,17.85340314,12.41884817,64.3979058,59.68586387,no
4,4.581151832,11.64397906,18.97905759,18.86387435,28.46073298,32.69633508,24.38219895,21.76963351,77.539267,51.15706806,yes
5,14.7434555,8.010471204,14.40314136,13.64397906,9.183246073,14.47120419,13.21989529,12.7486911,60.2460733,44.41884817,yes
6,1.518324607,4.062827225,10.41884817,18.39790576,9.565445026,15.42931937,16.19371728,14.73298429,60.5497382,49.58115183,no
7,25.96335079,13.41361257,3.607329843,4.287958115,2.623036649,1.094240838,0.633507853,1.19895288,37.026178,49.54450262,no
8,20.7382199,20.39790576,16.66492147,19.05235602,13.46073298,8.821989529,24.2460733,20.13612565,30.6335079,56.19371728,no
9,3.979057592,5.738219895,2.968586387,13.29319372,0.366492147,0.120418848,0.261780105,0.685863874,45.7801047,58.18848168,no
10,5.413612565,10.12041885,21.28795812,16.02617801,24.09424084,45.17277487,34.31413613,34.31413613,73.8010471,65.12041885,yes
11,2.528795812,5.612565445,7.712041885,12.71727749,13.08900524,7.732984293,10.67015707,21.54450262,62.4293194,67.36649215,no
12,3.528795812,4.963350785,8.371727749,12.27748691,16.60732984,12.18848168,17.37172775,14.76439791,60.4450262,66.54973822,no
13,1.816753927,8.811518325,11.73298429,24.18848168,25.68586387,29.17801047,14.81675393,17.65968586,81.8429319,55.59685864,yes
14,26.06806283,17.0052356,10.58115183,8.895287958,6.497382199,11.69109948,14.66492147,6.214659686,34.4921466,55.16230366,no
15,2.744791667,5.973958333,9.713541667,3.34375,3.390625,3.114583333,8.484375,11.05208333,62.0989583,66.015625,yes
16,11.40314136,8.277486911,6.722513089,11.7434555,8.87434555,13.52356021,10.87434555,5.19895288,52.539267,49.21989529,no
17,10.78010471,16.67015707,6.371727749,10.61256545,9.947643979,18.17277487,20.52879581,15.48691099,71.7643979,56.18848168,no
18,8.403141361,4.130890052,15.84293194,16.51832461,4.654450262,4.602094241,15.39790576,10.39790576,48.0680628,67.26701571,no
19,10.14136126,7.591623037,7.769633508,13.95287958,12.78534031,23.57068063,20.32984293,26.9211466,61.104712,32.70157068,yes
20,4.335078534,11.7382199,5.607329843,7.141361257,18.86910995,12.20418848,8.994764398,17.34031414,34.1989529,59.7382199,no
21,7.163157895,8.047368421,11.83684211,14.02105263,9.978947368,13.07894737,11.94736842,22.81052632,54.7157895,52.78421053,yes
22,6.120930233,8.088372093,11.3627907,9.586046512,13.63255814,20.4,26.12093023,21.27906977,47.9395349,55.13488372,no
23,2.90052356,2.759162304,8.261780105,9.188481675,7.42408377,18.31413613,15.0052356,11.59162304,73.7696335,45.61780105,yes
24,28.32105263,13.83157895,6.273684211,6.094736842,6.652631579,8.557894737,19.98947368,15.08947368,41.3368421,51.1,no
