User_id,Delta Waves,Theta Waves,Low Alpha Waves,High Alpha Waves,Low Beta Waves,High Beta Waves,Low Gamma Waves,High Gamma Waves,Attention,Meditation,Attentive
1,25.47863267,18.34062106,19.18008077,3.02816278,0.374095447,8.521686006,0.231312705,11.2882089,60.66863404,53.10471204,yes
2,31.1789553,18.35312557,21.28675405,26.58183296,28.46639783,40.61990395,0.252955471,0.69981456,73.68297718,65.2565445,no
3,1.370558658,2.69563985,21.29852727,10.13435208,19.16290025,0.113712339,30.86768151,0.65693865,30.66840774,59.68586387,no
4,1.37393829,10.46427974,17.07202335,3.642315847,25.62545868,45.17858871,37.71102577,0.707515606,89.99481663,51.15706806,yes
5,16.2455589,8.787603047,23.46868498,12.27102847,0.317192357,49.66050815,13.21300887,37.73750326,54.23243074,44.41884817,yes
6,1.387847263,4.499863462,21.28369747,18.40310742,10.53906297,0.131191328,30.89745256,14.73295898,81.84478363,49.58115183,no
7,28.33285304,2.230247718,23.40493118,21.75941997,28.44861516,49.67774368,34.28239534,1.16579946,33.72142834,49.54450262,no
8,1.52497287,20.40648512,2.99855564,3.66932109,13.48928151,0.058088549,30.90007423,0.731228915,30.64694201,56.19371728,no
9,1.55116247,2.167633623,19.15650839,13.27775408,25.5918353,0.162306134,0.273429346,0.772760953,90.02215618,58.18848168,no
10,5.417383917,2.669340577,2.959773209,2.989343511,25.5680786,0.129323559,37.76447338,34.30910693,66.42321707,65.12041885,yes
11,2.502402828,6.188232638,3.01319127,3.334734127,0.335193362,0.13872703,0.239772659,23.68253987,62.42401233,67.36649215,no
12,31.14488611,18.32145202,19.16629799,13.51560757,25.61548543,0.074577665,15.63975565,0.616583333,81.82918847,66.54973822,no
13,1.7969936,2.694008288,2.978261932,24.18897084,0.399945316,40.68419644,30.85648527,19.40247081,90.05793552,55.59685864,yes
14,1.510515161,18.36568694,2.970022727,26.66113704,0.362931353,49.69687522,34.3169057,5.584335359,34.49351363,55.16230366,no
15,2.691338682,2.694157878,23.42907371,3.368771955,3.033333165,40.63561696,0.238034972,11.07698472,90.02275432,66.015625,yes
16,25.45890569,7.448547436,19.17298337,3.665663368,28.464688,12.15389864,0.302436632,30.8550258,30.59890108,49.21989529,no
17,25.52877947,18.32252903,23.40585815,3.008787279,10.95040991,0.094227705,37.74001384,30.88338432,64.64339128,56.18848168,no
